Name;Team;City;Position;Nationality;Agency;Transfer cost;Participations;Goals;Assists;Yellow cards;Red cards
Iva Streich;Nevada whales;South Carolina;MIDFIELD;Colombia;D'Amore LLC;75012006;22;19;6;3;7
Miss Buck Bradtke;Nevada whales;South Carolina;DEFENDER;Brazil;D'Amore LLC;33850831;20;26;18;6;9
Everette Kovacek MD;Wisconsin prophets;Vermont;DEFENDER;Palau;Walker and Sons;64396675;27;11;25;0;5
Ms. Adolph Hartmann;North Carolina dolphins;Tennessee;FORWARD;Croatia;;52944545;27;10;5;5;8
Kenyetta Emard;Mississippi witches;Virginia;GOALKEEPER;Ecuador;D'Amore LLC;94715977;10;24;18;0;7
Mrs. Celina Abshire;Massachusetts enchanters;Connecticut;GOALKEEPER;Qatar;D'Amore LLC;41436703;27;4;1;0;0
Dr. Royal King;Florida tigers;Washington;GOALKEEPER;Ecuador;Walker and Sons;50056961;21;6;3;5;4
Rory Koss;Utah nemesis;New York;MIDFIELD;Ghana;Jakubowski and Sons;4483194;20;13;11;9;2
Lorinda Labadie;Utah nemesis;New York;MIDFIELD;Germany;Price-Hirthe;33413181;22;13;21;0;4
Ms. Erwin Hoeger;Minnesota giants;Washington;DEFENDER;Qatar;Fadel LLC;71207725;26;28;15;7;1
Terry Hegmann;Wisconsin prophets;Vermont;DEFENDER;Germany;Graham-Powlowski;7294362;12;11;28;1;8
Serina Moen;Nevada whales;South Carolina;MIDFIELD;Brazil;Bogisich-Rempel;91242062;28;0;22;0;6
Moshe Wiegand;North Carolina dolphins;Tennessee;DEFENDER;Brazil;Jakubowski and Sons;30073197;28;19;25;9;0
Zackary Kilback;Nevada whales;South Carolina;MIDFIELD;Korea (Democratic People's Republic of);D'Amore LLC;63619334;12;23;22;4;4
Beckie Lindgren;Nevada whales;South Carolina;DEFENDER;Germany;Walker and Sons;11576194;25;16;15;0;7
Eusebio Beatty IV;New Mexico ogres;Georgia;DEFENDER;Ecuador;D'Amore LLC;17429288;0;10;6;1;4
Lannie Brakus;Utah nemesis;New York;GOALKEEPER;Ghana;Bogisich-Rempel;71830024;19;1;19;5;6
Carson Bradtke;Florida tigers;Washington;FORWARD;Colombia;;61663205;8;24;28;0;1
Miss Niesha Aufderhar;North Carolina dolphins;Tennessee;FORWARD;Ecuador;Graham-Powlowski;28665746;0;16;21;0;6
Wiley Gutmann;Utah nemesis;New York;GOALKEEPER;Korea (Democratic People's Republic of);D'Amore LLC;46579365;23;18;26;7;1
Micha Koch;New Mexico ogres;Georgia;GOALKEEPER;Croatia;;32216127;15;20;0;7;1
Loyd Reinger;Florida tigers;Washington;FORWARD;Ghana;Graham-Powlowski;35819257;17;24;23;4;9
Tammi Kirlin;Florida tigers;Washington;FORWARD;Qatar;D'Amore LLC;98013441;26;12;24;2;1
Marcelino Strosin;Nevada whales;South Carolina;DEFENDER;Ghana;Walker and Sons;37747125;4;27;13;8;1
Darwin Lang I;Utah nemesis;New York;MIDFIELD;Ecuador;Walker and Sons;62146819;1;20;25;7;1
Steven O'Conner DDS;Nevada whales;South Carolina;DEFENDER;Ghana;Bogisich-Rempel;32437027;26;15;16;1;6
Cathie Mills;Massachusetts enchanters;Connecticut;DEFENDER;Korea (Democratic People's Republic of);Walker and Sons;92423724;1;1;1;7;4
Mrs. Refugio Heaney;New Mexico ogres;Georgia;DEFENDER;Palau;;28157018;23;16;2;6;7
Kory Shanahan;Mississippi witches;Virginia;DEFENDER;Mozambique;Price-Hirthe;76160201;3;4;7;9;7
